participantID,wcg_strategy,wcg_strategy_group
1001,I used words that were associated with the previous word,categories
1002,"Sticking with topics or themes e.g. meals, kitchen items, body parts etc.",categories
1007,Just word association.,categories
1012,Connected words ,categories
1013,speed and i would choose vague words that i knew i could easily associate other words with ,categories
1016,"At the first part of the word chain, I thought of the school setting and try coming up with any words related to schooling. The second part was most influence the text after reading.",categories
1020,I used words that seem related to each other,categories
1024,just reading the flashing up word (that id written) and thinking about what i associaze with that,categories
1031,meanings of words and what they bring to mind,categories
1037,I typed words that were related to the previous word that I typed in,categories
1048,schemata,categories
1051,word association,categories
1061,just words that go together,categories
1062,I just thought of the words that would go together,categories
1072,association,categories
1086,using category themes,categories
1088,word assocation,categories
1026,link meanings/use the word that pops into my head,"categories,no_strategy"
1080,used the last show i watched for inspiration for first one second one used what i had just read,concerns
1089,think about how words made me feel or what emotions they evoked.,concerns
1010,"what i am feeling at the moment, things around me","concerns,surroundings"
1000,Trying not to think too much.,no_strategy
1003,thinking widely,no_strategy
1009,Simply typing the first word that came to mind.,no_strategy
1015,I literally put the first thing I could see in my mind,no_strategy
1017,"The first chain game was based purely on what words came to mind. The second chain game felt influenced by the story I read and had a certain narrative that was not intentional, it just came to be.",no_strategy
1022,free thought ,no_strategy
1023,none,no_strategy
1027,none,no_strategy
1028,just random words ,no_strategy
1030,None - I freely associated,no_strategy
1032,Nothing; I just wrote what I first thought,no_strategy
1035,"Non, just went mostly on instinct.",no_strategy
1036,"it was hard, i just tried to think as little as possible",no_strategy
1039,"none, just use words that came in to my head",no_strategy
1040,I tried to just empty my mind and type in anything that entered my head!,no_strategy
1041,wasn't any ,no_strategy
1042,none,no_strategy
1044,whatever came to mind first,no_strategy
1046,"i just let the words come to me, i didnt force it.",no_strategy
1047,I wasnt aware of any strategies i may have used,no_strategy
1049,whatever word came into my mind,no_strategy
1050,Just typing whatever came into my head,no_strategy
1052,Trying to think a word ahead so I can always form a word after ,no_strategy
1053,I just wrote whatever came to mind,no_strategy
1056,stream of consciousness ,no_strategy
1057,No strategy just worked off word association whatever came to mind and the direction my mind was heading,no_strategy
1058,I just kept trying to focus on the words but found it difficult as my mind kept wanting to think of wider concepts raised by the words rather than just individual words. Sometimes I felt like I wanted to explain why my mind was linking words together. It was challenging to do.,no_strategy
1063,whatver comes to my head,no_strategy
1066,none,no_strategy
1068,Just wrote anything that came into my head that related to the previous word.,no_strategy
1069,all feelings,no_strategy
1070,write the word that comes to mind first,no_strategy
1071,Tried to relax and just answer honestly even if the association wasn't that obvious to the reader.,no_strategy
1073,I just wrote the first word that came to mind,no_strategy
1074,I just wrote the first word that came to mind,no_strategy
1075,none just thought of a word and wrote it down,no_strategy
1078,Writing first word that came to mind,no_strategy
1079,n/a just typed whatever came to mind,no_strategy
1082,None I just wrote the words that sprang to mind,no_strategy
1085,I just typed one word that was coming to my mind at that moment.,no_strategy
1087,"I'm not sure what strategies I may have used? I closed my eyes and tried to think of things to type. And tried to ignore the room around me while doing so, because you weren't asking for a list of objects I could see.",no_strategy
1090,Immediately put the word that came to my mind after thinking of the last word,no_strategy
1091,Just typed what came to mind.,no_strategy
1094,"I didn't really use a particular strategy for the Word Chain game. Just thought of an initial word in each case, and then the next word that came to mind (usually in some way related to the previous word) I wrote that down next, and so on.",no_strategy
1095,just whatever came into my head,no_strategy
1097,NO STRATEGIES,no_strategy
1038,"rhymes, word association","rhyming,categories"
1033,looked around my living room and went from there,surroundings
1055,look outside,surroundings
1060,I found myself picking out letters on my keyboard and choosing the first word that came to mind at some points,surroundings
1077,Sometimes I looked round the room or thought about things in my house. Otherwise I just let words form in my head,"surroundings,no_strategy"
1005,,other
1006,Treated it like a story,other
1021,,other
1034,,other
1067,,other
1081,,other
1083,Creating a story in my mind,other
1096,No,other
